Customer ID,Recency,Frequency,Monetary,Cluster,Segment,Region,Customer_Type
AA-10315,185,5,5563.56,1,Champions,Central,Consumer
AA-10375,20,9,1056.39,1,Champions,East,Consumer
AA-10480,260,4,1790.512,0,Loyal Customers,Central,Consumer
AA-10645,56,6,5086.9349999999995,1,Champions,East,Consumer
AB-10015,416,3,886.156,0,Loyal Customers,Central,Consumer
AB-10060,55,8,7755.620000000001,1,Champions,East,Home Office
AB-10105,42,10,14473.571,1,Champions,Central,Consumer
AB-10150,42,5,966.71,0,Loyal Customers,Central,Consumer
AB-10165,11,10,1215.022,1,Champions,West,Consumer
AB-10255,167,9,914.532,1,Champions,West,Home Office
AB-10600,51,4,1515.862,0,Loyal Customers,West,Corporate
AC-10420,233,3,925.8000000000001,0,Loyal Customers,Central,Corporate
AC-10450,12,7,5527.846,1,Champions,South,Consumer
AC-10615,7,5,2537.686,1,Champions,East,Corporate
AC-10660,283,5,657.316,0,Loyal Customers,Central,Consumer
AD-10180,30,8,6106.88,1,Champions,East,Home Office
AF-10870,42,7,2052.908,1,Champions,East,Consumer
AF-10885,416,4,861.565,0,Loyal Customers,East,Consumer
AG-10270,102,9,2720.386,1,Champions,Central,Consumer
AG-10300,119,4,367.548,0,Loyal Customers,West,Corporate
AG-10330,9,5,660.972,1,Champions,Central,Consumer
AG-10390,115,5,200.94500000000002,0,Loyal Customers,East,Consumer
AG-10495,79,8,2356.855,1,Champions,South,Corporate
AG-10525,845,4,1455.038,0,Loyal Customers,East,Corporate
AG-10675,98,7,3489.0395999999996,1,Champions,South,Consumer
AG-10765,78,4,170.584,0,Loyal Customers,Central,Home Office
AG-10900,97,10,4510.7970000000005,1,Champions,West,Consumer
AH-10030,13,7,1744.7,1,Champions,East,Corporate
AH-10075,35,10,3250.337,1,Champions,East,Corporate
AH-10120,61,7,1735.5140000000001,1,Champions,West,Home Office
AH-10195,56,4,1587.4520000000002,0,Loyal Customers,East,Corporate
AH-10210,7,9,4805.344,1,Champions,West,Consumer
AH-10465,231,5,2495.3916,0,Loyal Customers,Central,Consumer
AH-10585,22,4,738.504,0,Loyal Customers,West,Consumer
AH-10690,411,12,7888.294,1,Champions,South,Corporate
AI-10855,14,10,4375.786,1,Champions,West,Consumer
AJ-10780,76,7,4867.344,1,Champions,East,Corporate
AJ-10795,167,7,4501.391,1,Champions,West,Corporate
AJ-10945,86,7,1839.24,1,Champions,Central,Consumer
AJ-10960,75,3,629.2479999999999,0,Loyal Customers,East,Consumer
AM-10360,29,5,814.012,0,Loyal Customers,West,Corporate
AM-10705,163,8,5664.022,1,Champions,South,Consumer
AO-10810,502,1,161.28,0,Loyal Customers,West,Corporate
AP-10720,42,8,1638.554,1,Champions,East,Home Office
AP-10915,99,10,3323.556,1,Champions,West,Consumer
AR-10345,112,6,1073.354,0,Loyal Customers,East,Corporate
AR-10405,126,5,2236.1279999999997,1,Champions,East,Corporate
AR-10510,15,5,264.86400000000003,0,Loyal Customers,East,Consumer
AR-10540,7,6,6608.448,1,Champions,Central,Consumer
AR-10570,535,1,88.15,0,Loyal Customers,South,Consumer
AR-10825,59,8,4523.336,1,Champions,West,Corporate
AS-10045,89,7,3050.692,1,Champions,South,Corporate
AS-10090,29,9,3255.3100000000004,1,Champions,East,Consumer
AS-10135,42,2,58.82,0,Loyal Customers,East,Home Office
AS-10225,23,5,4260.784,1,Champions,West,Corporate
AS-10240,193,7,584.6080000000001,0,Loyal Customers,South,Consumer
AS-10285,20,6,3214.236,1,Champions,Central,Corporate
AS-10630,93,7,833.3979999999999,1,Champions,South,Home Office
AT-10435,22,6,1171.814,1,Champions,West,Home Office
AT-10735,14,10,3831.8639999999996,1,Champions,East,Consumer
AW-10840,21,4,649.3760000000001,0,Loyal Customers,West,Consumer
AW-10930,47,7,2852.9680000000003,1,Champions,Central,Home Office
AY-10555,15,4,497.014,0,Loyal Customers,West,Corporate
AZ-10750,161,6,1622.018,1,Champions,West,Consumer
BB-10990,106,5,744.34,0,Loyal Customers,West,Corporate
BB-11545,29,9,6765.728,1,Champions,Central,Corporate
BC-11125,203,9,2933.6760000000004,1,Champions,West,Home Office
BD-11320,34,12,5718.521,1,Champions,West,Consumer
BD-11500,36,6,4411.243,1,Champions,Central,Consumer
BD-11560,279,2,320.54,0,Loyal Customers,West,Home Office
BD-11605,98,9,3332.871,1,Champions,South,Consumer
BD-11620,70,6,1538.1100000000001,1,Champions,East,Consumer
BD-11635,10,3,582.6460000000001,0,Loyal Customers,East,Consumer
BD-11725,94,6,1526.5,1,Champions,South,Consumer
BD-11770,328,6,658.466,0,Loyal Customers,East,Consumer
BE-11335,120,5,4204.676,1,Champions,Central,Home Office
BE-11410,99,5,2261.438,1,Champions,Central,Consumer
BE-11455,255,6,1727.652,0,Loyal Customers,East,Home Office
BF-10975,92,7,599.798,0,Loyal Customers,South,Corporate
BF-11005,40,4,1333.88,0,Loyal Customers,West,Home Office
BF-11020,75,8,2888.506,1,Champions,Central,Corporate
BF-11080,26,3,272.95,0,Loyal Customers,East,Consumer
BF-11170,17,13,8430.144,1,Champions,East,Home Office
BF-11215,66,4,1585.162,0,Loyal Customers,West,Home Office
BF-11275,58,3,791.99,0,Loyal Customers,South,Corporate
BG-11035,29,8,2798.948,1,Champions,South,Consumer
BG-11695,37,6,1874.1719999999998,1,Champions,East,Corporate
BG-11740,58,6,1006.3560000000001,1,Champions,West,Consumer
BG-18435,2,5,609.88,1,Champions,East,Consumer
BH-11710,24,8,6255.351,1,Champions,South,Consumer
BK-11260,78,6,659.138,0,Loyal Customers,West,Consumer
BM-11140,308,4,11789.63,1,Champions,Central,Consumer
BM-11575,101,6,808.162,0,Loyal Customers,East,Corporate
BM-11650,34,11,7294.185,1,Champions,Central,Corporate
BM-11785,219,10,1338.842,1,Champions,East,Consumer
BN-11470,25,4,265.296,0,Loyal Customers,South,Corporate
BN-11515,10,5,1459.344,1,Champions,East,Consumer
BO-11350,138,5,2682.728,1,Champions,East,Corporate
BO-11425,76,2,130.83,0,Loyal Customers,East,Consumer
BP-11050,84,5,983.42,0,Loyal Customers,East,Corporate
BP-11095,18,14,3350.874,1,Champions,West,Corporate
BP-11155,90,6,1697.861,1,Champions,East,Consumer
BP-11185,2,9,3675.8610000000003,1,Champions,West,Corporate
BP-11230,40,5,1181.49,1,Champions,West,Consumer
BP-11290,13,7,2475.157,1,Champions,Central,Consumer
BS-11365,559,5,10501.653,1,Champions,East,Corporate
BS-11380,29,5,3887.8340000000003,1,Champions,West,Corporate
BS-11590,36,6,2454.928,1,Champions,East,Corporate
BS-11665,583,3,3288.1100000000006,0,Loyal Customers,West,Consumer
BS-11755,2,7,2562.382,1,Champions,West,Consumer
BS-11800,266,2,949.4300000000001,0,Loyal Customers,East,Home Office
BT-11305,337,5,2567.656,0,Loyal Customers,West,Home Office
BT-11395,303,6,2186.613,0,Loyal Customers,West,Corporate
BT-11440,561,4,603.876,0,Loyal Customers,East,Consumer
BT-11485,660,2,415.19599999999997,0,Loyal Customers,East,Home Office
BT-11530,92,5,2684.492,1,Champions,West,Home Office
BT-11680,21,7,3196.752,1,Champions,East,Consumer
BV-11245,335,5,1523.273,0,Loyal Customers,Central,Corporate
BW-11065,213,3,385.516,0,Loyal Customers,East,Consumer
BW-11110,122,8,4750.358,1,Champions,East,Corporate
BW-11200,204,6,1738.4060000000002,0,Loyal Customers,East,Consumer
CA-11965,97,6,3789.7228,1,Champions,Central,Corporate
